entry_date,expiry_date,direction,strike,entry_premium,exit_premium,exit_date,exit_reason,pnl_pts,pnl_pct,spot_at_entry,bull_score,bear_score
2019-11-25,2019-11-28,CALL,11900.0,208.06162500000002,247.87762500000002,2019-11-28,expiry,39.816,0.19136638003283882,11922.4501953125,6,0
2019-12-16,2019-12-19,CALL,12150.0,20.630900000000004,47.528600000000004,2019-12-17,target,26.8977,1.3037579553000593,12131.349609375,5,1
2019-12-30,2020-01-02,CALL,12250.0,56.18415,20.619025,2019-12-31,stop,-35.565125,-0.6330099325165549,12274.900390625,5,1
2020-02-10,2020-02-13,CALL,12100.0,28.94335,118.22240000000001,2020-02-12,target,89.27905000000001,3.0846135640829417,12102.349609375,4,2
2020-02-17,2020-02-20,CALL,12150.0,30.2453,10.434325,2020-02-18,stop,-19.810975,-0.6550100346169487,12131.7998046875,4,2
2020-06-22,2020-06-25,CALL,10300.0,103.004275,194.3081,2020-06-23,target,91.30382499999999,0.8864081126729932,10318.75,4,2
2020-07-06,2020-07-09,CALL,10700.0,126.539525,53.919000000000004,2020-07-08,stop,-72.62052499999999,-0.5738959823027626,10723.849609375,4,2
2020-07-13,2020-07-16,CALL,10850.0,69.454025,17.124275,2020-07-14,stop,-52.329750000000004,-0.7534444548030155,10851.849609375,5,1
2020-08-31,2020-09-03,CALL,11800.0,13.670475000000001,6.4403250000000005,2020-09-01,stop,-7.230150000000001,-0.5288879867012668,11777.5498046875,5,1
2020-11-23,2020-11-26,CALL,12950.0,80.37037500000001,147.02912500000002,2020-11-24,target,66.65875000000001,0.8293945374772732,12960.2998046875,5,1
2020-12-07,2020-12-10,CALL,13250.0,144.666675,283.97339999999997,2020-12-09,target,139.30672499999997,0.9629496565121164,13264.849609375,4,2
2020-12-14,2020-12-17,CALL,13550.0,96.09392500000001,193.159825,2020-12-17,target,97.0659,1.01011484336809,13571.4501953125,6,0
2021-05-24,2021-05-27,CALL,15200.0,98.197075,132.2014,2021-05-27,expiry,34.00432500000001,0.34628653653889396,15211.349609375,6,0
2021-05-31,2021-06-03,CALL,15450.0,154.78182500000003,235.29652500000003,2021-06-03,expiry,80.5147,0.5201818753590739,15437.75,5,1
2021-06-07,2021-06-10,CALL,15750.0,90.08492500000001,14.578100000000001,2021-06-09,stop,-75.506825,-0.8381738121000821,15725.099609375,5,1
2021-06-14,2021-06-17,CALL,15800.0,84.52660000000002,44.3334,2021-06-16,stop,-40.19320000000002,-0.47550948458828357,15791.400390625,4,2
2021-06-21,2021-06-24,CALL,15550.0,225.487725,240.43880000000001,2021-06-24,expiry,14.951075000000003,0.06630549401303332,15525.849609375,4,2
2021-06-28,2021-07-01,CALL,15900.0,50.075,16.525175,2021-06-29,stop,-33.549825,-0.6699915127309036,15915.349609375,4,2
2021-07-05,2021-07-08,CALL,15800.0,79.81955,0.19970000000000002,2021-07-08,stop,-79.61985,-0.9974981066668503,15793.400390625,4,2
2021-07-12,2021-07-15,CALL,15750.0,49.724475,95.007275,2021-07-13,target,45.28280000000001,0.910674270567965,15766.7998046875,4,2
2021-07-19,2021-07-22,CALL,15750.0,67.451025,15.7763,2021-07-20,stop,-51.674725,-0.7661073349144806,15754.5,5,1
2021-07-26,2021-07-29,CALL,15850.0,56.134075,20.918575,2021-07-27,stop,-35.215500000000006,-0.6273462241962658,15849.2998046875,4,2
2021-08-09,2021-08-12,CALL,16300.0,48.27230000000001,64.153625,2021-08-12,expiry,15.881324999999997,0.32899457867141185,16281.349609375,4,2
2021-10-18,2021-10-21,CALL,18500.0,99.699325,10.783800000000001,2021-10-20,stop,-88.915525,-0.8918367802389836,18500.099609375,5,1
2021-11-08,2021-11-11,CALL,18050.0,131.146425,47.62845000000001,2021-11-10,stop,-83.51797499999998,-0.6368299784000974,18040.19921875,4,2
2021-11-15,2021-11-18,CALL,18150.0,92.23815,30.454250000000002,2021-11-16,stop,-61.7839,-0.6698302166728192,18140.94921875,5,1
2021-11-22,2021-11-25,PUT,17800.0,383.524425,272.9899,2021-11-25,expiry,-110.53452500000003,-0.28820726346177306,17796.25,2,4
2021-12-13,2021-12-16,CALL,17600.0,42.8642,16.225625,2021-12-14,stop,-26.638574999999996,-0.6214644155262433,17619.099609375,4,2
2021-12-27,2021-12-30,PUT,16950.0,61.742475,16.974500000000003,2021-12-28,stop,-44.76797499999999,-0.7250758088333841,16937.75,2,4
2022-01-03,2022-01-06,CALL,17400.0,267.20020000000005,528.9054500000001,2022-01-05,target,261.70525000000004,0.9794350827581715,17387.150390625,4,2
2022-01-17,2022-01-20,CALL,18250.0,144.31615,44.533100000000005,2022-01-18,stop,-99.78304999999999,-0.6914198445565517,18235.650390625,4,2
2022-02-14,2022-02-17,PUT,17100.0,318.426925,41.188125,2022-02-15,stop,-277.23879999999997,-0.8706512491052696,17076.150390625,2,4
2022-03-21,2022-03-24,CALL,17350.0,96.144,54.667875,2022-03-23,stop,-41.476125,-0.4313958749375936,17329.5,4,2
2022-04-04,2022-04-07,CALL,17800.0,297.195125,71.143125,2022-04-06,stop,-226.05200000000002,-0.7606181292509425,17809.099609375,5,1
2022-04-11,2022-04-21,CALL,17750.0,162.243,74.238475,2022-04-12,stop,-88.004525,-0.5424241723834002,17740.900390625,4,2
2022-04-18,2022-04-21,PUT,17200.0,130.144925,0.149775,2022-04-21,stop,-129.99515,-0.9988491675722276,17183.44921875,2,4
2022-04-25,2022-04-28,PUT,17000.0,162.994125,33.150200000000005,2022-04-26,stop,-129.84392499999998,-0.7966172093626073,17009.05078125,2,4
2022-06-27,2022-06-30,CALL,15950.0,74.36137500000001,22.416325,2022-06-29,stop,-51.94505000000001,-0.6985488097819601,15926.2001953125,4,2
2022-08-01,2022-08-04,CALL,17250.0,163.24450000000002,135.346675,2022-08-04,expiry,-27.89782500000001,-0.17089595667847926,17243.19921875,5,1
