n_signals,combo,n,acc,avg_ret_pct,p_value,acc_pre2022,acc_post2022,stability
5,bin_adx_14+bin_pcr_vs_avg+bin_above_ema200+bin_prior_week_bull+bin_consec_up,61,0.7049180327868853,0.26858279754562636,0.0009397093906477863,0.6363636363636364,0.7857142857142857,0.14935064935064934
4,bin_adx_14+bin_pcr_vs_avg+bin_above_ema200+bin_consec_up,61,0.7049180327868853,0.26858279754562636,0.0009397093906477863,0.6363636363636364,0.7857142857142857,0.14935064935064934
4,bin_adx_14+bin_pcr_vs_avg+bin_above_ema200+bin_prior_week_bull,61,0.7049180327868853,0.26858279754562636,0.0009397093906477863,0.6363636363636364,0.7857142857142857,0.14935064935064934
5,bin_adx_14+bin_pcr_vs_avg+bin_crude_oil_ret5+bin_rsi_5+bin_pcr,27,0.7037037037037037,0.04100593770387641,0.03140876942547017,0.6,0.8333333333333334,0.2333333333333334
5,bin_adx_14+bin_pcr_vs_avg+bin_stoch_5+bin_crude_oil_ret5+bin_above_ema200,27,0.7037037037037037,0.26739133814511884,0.03140876942547017,0.6428571428571429,0.7692307692307693,0.12637362637362637
5,bin_pcr_vs_avg+bin_crude_oil_ret5+bin_rsi_5+bin_above_ema200+bin_pcr,54,0.7037037037037037,0.21738734482112718,0.0020208578540808608,0.6774193548387096,0.7391304347826086,0.061711079943899017
5,bin_adx_14+bin_gap_pct+bin_pcr_vs_avg+bin_above_ema200+bin_prior_week_bull,37,0.7027027027027027,0.27835010607848043,0.011567471402481738,0.6666666666666666,0.7692307692307693,0.10256410256410264
5,bin_adx_14+bin_gap_pct+bin_pcr_vs_avg+bin_above_ema200+bin_consec_up,37,0.7027027027027027,0.27835010607848043,0.011567471402481738,0.6666666666666666,0.7692307692307693,0.10256410256410264
3,bin_adx_14+bin_pcr_vs_avg+bin_above_ema200,77,0.7012987012987013,0.2773760458769975,0.00025802596176564396,0.6511627906976745,0.7647058823529411,0.11354309165526666
5,bin_adx_14+bin_pcr_vs_avg+bin_crude_oil_ret10+bin_crude_oil_ret5+bin_rsi_5,20,0.7,0.18897273618939114,0.07239002577225488,0.6666666666666666,0.75,0.08333333333333337
5,bin_adx_14+bin_pcr_vs_avg+bin_stoch_5+bin_crude_oil_ret10+bin_rsi_5,30,0.7,0.23988563007336797,0.025774237364825595,0.5882352941176471,0.8461538461538461,0.25791855203619907
5,bin_adx_14+bin_pcr_vs_avg+bin_crude_oil_ret5+bin_gap_up+bin_pcr,30,0.7,0.16792590569014276,0.025774237364825595,0.6470588235294118,0.7692307692307693,0.12217194570135748
5,bin_gap_pct+bin_pcr_vs_avg+bin_crude_oil_ret10+bin_prior_week_bull+bin_pcr,50,0.7,0.21970648727017394,0.003634703850338952,0.6176470588235294,0.875,0.25735294117647056
5,bin_adx_14+bin_pcr_vs_avg+bin_stoch_5+bin_crude_oil_ret10+bin_pcr,30,0.7,0.246189256968532,0.025774237364825595,0.5882352941176471,0.8461538461538461,0.25791855203619907
5,bin_gap_pct+bin_pcr_vs_avg+bin_crude_oil_ret10+bin_consec_up+bin_pcr,50,0.7,0.21970648727017394,0.003634703850338952,0.6176470588235294,0.875,0.25735294117647056
5,bin_adx_14+bin_pcr_vs_avg+bin_stoch_5+bin_gap_up+bin_above_ema200,40,0.7,0.27957937817338824,0.009563548476957952,0.7,0.7,0.0
5,bin_stoch_5+bin_crude_oil_ret10+bin_rsi_5+bin_gap_up+bin_pcr,53,0.6981132075471698,0.23353036499750143,0.003017354200920366,0.6666666666666666,0.7647058823529411,0.0980392156862745
5,bin_gap_pct+bin_pcr_vs_avg+bin_crude_oil_ret10+bin_gap_up+bin_pcr,43,0.6976744186046512,0.1745530560983082,0.007904349741853774,0.6206896551724138,0.8571428571428571,0.23645320197044328
5,bin_adx_14+bin_pcr_vs_avg+bin_crude_oil_ret10+bin_gap_up+bin_prior_week_bull,33,0.696969696969697,0.10178489045469757,0.021154022455794414,0.6111111111111112,0.8,0.18888888888888888
5,bin_adx_14+bin_pcr_vs_avg+bin_crude_oil_ret10+bin_gap_up+bin_consec_up,33,0.696969696969697,0.10178489045469757,0.021154022455794414,0.6111111111111112,0.8,0.18888888888888888
5,bin_stoch_5+bin_crude_oil_ret10+bin_rsi_5+bin_prior_week_bull+bin_pcr,65,0.6923076923076923,0.2608015855535847,0.0014299175642048351,0.6590909090909091,0.7619047619047619,0.1028138528138528
5,bin_adx_14+bin_pcr_vs_avg+bin_rsi_5+bin_above_ema200+bin_pcr,39,0.6923076923076923,0.15996977960350878,0.014266983141625337,0.6190476190476191,0.7777777777777778,0.15873015873015872
4,bin_stoch_5+bin_crude_oil_ret10+bin_rsi_5+bin_pcr,65,0.6923076923076923,0.2608015855535847,0.0014299175642048351,0.6590909090909091,0.7619047619047619,0.1028138528138528
5,bin_stoch_5+bin_crude_oil_ret10+bin_rsi_5+bin_consec_up+bin_pcr,65,0.6923076923076923,0.2608015855535847,0.0014299175642048351,0.6590909090909091,0.7619047619047619,0.1028138528138528
4,bin_gap_pct+bin_pcr_vs_avg+bin_crude_oil_ret10+bin_pcr,55,0.6909090909090909,0.21992724564569266,0.003687696944050597,0.6153846153846154,0.875,0.2596153846153846
5,bin_pcr_vs_avg+bin_stoch_5+bin_crude_oil_ret10+bin_gap_up+bin_pcr,55,0.6909090909090909,0.19088701822809964,0.003687696944050597,0.6470588235294118,0.7619047619047619,0.11484593837535007
5,bin_pcr_vs_avg+bin_stoch_5+bin_crude_oil_ret5+bin_rsi_5+bin_pcr,58,0.6896551724137931,0.14232887056986981,0.003048712860838931,0.6470588235294118,0.75,0.1029411764705882
4,bin_adx_14+bin_pcr_vs_avg+bin_rsi_5+bin_gap_up,45,0.6888888888888889,0.11293680378031937,0.009642240782417363,0.6521739130434783,0.7272727272727273,0.07509881422924902
5,bin_adx_14+bin_pcr_vs_avg+bin_rsi_5+bin_gap_up+bin_consec_up,45,0.6888888888888889,0.11293680378031937,0.009642240782417363,0.6521739130434783,0.7272727272727273,0.07509881422924902
5,bin_adx_14+bin_pcr_vs_avg+bin_rsi_5+bin_gap_up+bin_prior_week_bull,45,0.6888888888888889,0.11293680378031937,0.009642240782417363,0.6521739130434783,0.7272727272727273,0.07509881422924902
5,bin_adx_14+bin_pcr_vs_avg+bin_gap_up+bin_above_ema200+bin_prior_week_bull,45,0.6888888888888889,0.2054873193380523,0.009642240782417363,0.6521739130434783,0.7272727272727273,0.07509881422924902
5,bin_adx_14+bin_pcr_vs_avg+bin_gap_up+bin_above_ema200+bin_consec_up,45,0.6888888888888889,0.2054873193380523,0.009642240782417363,0.6521739130434783,0.7272727272727273,0.07509881422924902
5,bin_adx_14+bin_pcr_vs_avg+bin_crude_oil_ret10+bin_prior_week_bull+bin_pcr,32,0.6875,0.1699285583752458,0.031530415301233745,0.5789473684210527,0.8461538461538461,0.2672064777327935
5,bin_adx_14+bin_pcr_vs_avg+bin_crude_oil_ret10+bin_rsi_5+bin_consec_up,32,0.6875,0.16401890816102951,0.031530415301233745,0.5789473684210527,0.8461538461538461,0.2672064777327935
5,bin_adx_14+bin_pcr_vs_avg+bin_crude_oil_ret10+bin_consec_up+bin_pcr,32,0.6875,0.1699285583752458,0.031530415301233745,0.5789473684210527,0.8461538461538461,0.2672064777327935
5,bin_adx_14+bin_pcr_vs_avg+bin_crude_oil_ret10+bin_rsi_5+bin_prior_week_bull,32,0.6875,0.16401890816102951,0.031530415301233745,0.5789473684210527,0.8461538461538461,0.2672064777327935
